name,free_returns,items_sold,status,shipping,price
Shop on eBay,False,,Brand New,,2000
Reolink Battery Security Camera Wireless Waterproof PIR Argus Eco & Solar Panel,False,,Brand New,0,8499
4PCS Indoor Wifi IP Security Camera Baby Monitor Home Surveillance Night Vision,True,,Brand New,0,7199
Digital Camera 3.0 Inch TFT LCD Screen 16X Zoom HD 16MP 1080P Anti-Shake Mic US,True,,Brand New,0,3299
Polaroid i20X29 20MP HD 1080P Video 10X Optical Zoom 2.8 LCD Red Digital Camera,True,329,Brand New,695,2999
MINT Canon Rebel T5 SLR Camera w/ EF-S 18-55mm IS II Lens (2 LENSES),False,401,Pre-Owned,0,30999
Mini Spy Camera WiFi HD 1080P Hidden IP Night Vision Camcorder Home Security Cam,True,,Brand New,0,2099
1080P  WiFi Camera Light Bulb Security Home Camera Wireless Waterproof IP66 CCTV,True,,Brand New,0,1959
"New ListingLeica M240 digital full-frame camera body, black 3 batteries",False,,Pre-Owned,0,500
Mini Spy Camera Security Surveillance Hidden Motion Detection DVR 1080P Full HD,True,,Brand New,0,2399
Sony Alpha a6100 24.2MP Mirrorless Camera Black (with 16-50mm lens kit) - NEW,False,,Open Box,0,54900
New ListingNikon COOLPIX S9900 16MP / 30x / Full HD / WiFi Digital Camera - Great Condition,False,,Pre-Owned,1260,16999
Mini Spy Camera WIFI 1080P HD Hidden IP Motion Night Vision Security Nanny Cam,False,,Brand New,0,1599
New ListingNikon COOLPIX L105 12.1MP Digital Camera,True,,Pre-Owned,585,3295
Wyze Wireless Smart Home Security Camera v2 Night Vision WYZEC2 1080p HD,True,2850,Certified - Refurbished,0,1699
4K Action Sport Waterproof Camera 20 MP Recorder HD 1080P Camcorder Video 170°,True,,Brand New,0,1889
For iPhone 14 13 12 11 Pro Max Tempered Glass Privacy Screen Camera Protectors,True,,Brand New,0,525
 Digital Camera 2.4 Inch TFT LCD Screen 4X Zoom HD 16MP 1080P Anti-Shake Mic US,True,57,Brand New,0,2499
Canon EOS 2000D / Rebel T7 24.1MP DSLR Camera + 18-55mm Lens + All You Need Kit,True,730,Brand New,0,40900
New ListingCanon PowerShot A630 8.0MP Digital Camera - Silver W/ Manuals Tested and Working,False,,Pre-Owned,1115,99
Canon EOS 2000D / Rebel T7 24.1MP CMOS 1080p DSLR Camera + EF-S 18-55mm Lens,True,446,Brand New,0,34899
New ListingCanon PowerShot A95 5.0 MP Digital Camera Silver w/Flip LCD Viewer + Memory Card,False,,Pre-Owned,0,8495
