name,free_returns,items_sold,status,shipping,price
Shop on eBay,False,,Brand New,,2000
Pinata Mexican Candy Box - Sweet and Sour - 73 Pack - 3 Pounds - Authentic Mex,False,,Brand New,0,2495
GOURMET ASSORTED Salt Water Candy TAFFY TOWN 1/4 LB  to 10 LB BAGS - SHIPS FREE,False,,Brand New,0,1029
Lil' Nitro Gummy Bear Worlds Hottest Challenge by Flamethrower Candy Company Hot,False,,Brand New,0,899
LICORICE HOLLOWS CANDY - FRESH -1/4LB to 10LBS BULK - FREE SHIPPING - by Kenny's,False,,Brand New,0,1134
Lil' Nitro Gummy Bear | Worlds Hottest Gummy Bear | Free and Fast Shipping,True,,Brand New,0,897
GOURMET BLACK LICORICE SWIRL Salt Water Taffy Candy TAFFY TOWN 1/4 to 10 LB BAG,False,,Brand New,0,804
Skittles Original Fruit Candy 54 oz Tub Bulk Vending Candies OVER 3 LBS Assorted,False,281,Brand New,0,1999
Brach's Peppermint Christmas Nougats Holiday Candy 11.5oz ,True,10,Brand New,0,599
JUMBO BLUE & WHITE SHARKS - FERRARA PAN Gummi Candy - 1/4 LB Bag - FREE SHIPPING,False,,Brand New,0,1112
"Tootsie Roll Fruit Chews Assorted Fruit Flavors, 14.37 Oz ",True,,Brand New,0,615
GOURMET CHOCOLATE Salt Water Taffy Candy TAFFY TOWN 1/4 LB  to 10 LB BAG,False,,Brand New,0,804
"TWIZZLERS, GUMMIES Assorted Fruit Candy, 3.7 oz, Bag",True,,Brand New,0,399
Jelly Belly Sunkist Fruit Gems Candy 4 LB Pounds New Free shipping FRESH,True,,Brand New,0,2655
Tik Tok Candy Jelly Fruit Dely Gely Candy Tiktok Candy Free Shipping Fruit Jelly,False,,Brand New,0,1125
"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Gifts",True,,Brand New,0,1889
Warheads Sour Taffy Sweet & Fruity Chewy Candy 3.59 oz Bag -  12 Individual Bars,False,,Brand New,0,789
"Tootsie Roll Fruit Chews Assorted Fruit Flavors, 14.37 Oz ",True,165,Brand New,0,435
Sugar Free Gummy Bears efrutti Zero Sugar 2.2 lbs Bulk Diabetic Snack Candy 1 KG,False,139,Brand New,0,3049
EXTREME TAFFY (Cinnamon) Salt Water Taffy Candy TAFFY TOWN 1/4LB to 10LB BAG,False,,Brand New,0,804
Coconut Slice Candy Bars 6ct Chocolate Vanilla Strawberry Neapolitan SHIPS FREE,True,699,Brand New,0,1465
"Airheads Candy Bars Variety Bulk Box Chewy Full Size Fruit Taffy, Gifts, Holiday",False,,Brand New,0,1126
ASSORTED GUMMI SHARKS CANDY -  1/2 LB BAG-  BULK - FRESH & TASTY,False,,Brand New,620,1024
Prince of Peace Ginger Chews Candy Original ( 100% Natural ) 4 oz,True,,Brand New,0,595
Tootsie Roll Frooties Candy (You choose Amount & The flavor) BULK PENNY CANDY,False,,Brand New,0,925
New Listing3 Bags Prince of Peace Ginger Candy Chews Original Flavor 4 Oz  ,False,,Brand New,0,1378
GOOD & PLENTY LICORICE CANDY - 1/4 LB BAG - FRESH - BULK - FREE SHIPPING,False,,Brand New,0,1034
"Laffy Taffy Banana Candy Chews, Individually Wrapped Fun Size Candy, 2 Pound Bag",False,38,Brand New,0,1399
Tootsie Roll Midgees 5 lb Chocolate Assorted SN884580,False,297,Brand New,0,2189
Tik Tok Jelly Fruit Candy Jelly Sticks Dely Gely,False,,Brand New,0,1080
ZOTZ Fizzy Candy by Andre ~ 6 Flavors ~ BULK ~ 60 PIECE COUNT - FREE SHIPPING,False,,Brand New,0,1315
Starburst ~ All Pink ~ Real Fruit Juice ~ Candy Fruit Chews ~ 15.60oz Bag,False,,Brand New,0,1200
"Hi-Chew Plus Fruit Chewy Candy, 2.82 Oz",False,,Brand New,0,802
CANDY CORN CANDY - FRESH & TASTY - 1/2 LB BAG BULK - BEST PRICE - FREE SHIPPING,False,,Brand New,0,1252
"Kasugai Japanese Assortment Gummy Candy ""Free Shipping""",False,,Brand New,0,599
Trolli GLOTZER Eye Balls (4ct) FREE SHIPPING,False,,Brand New,0,899
Haribo Gummy Chewy Sour Candy 4oz 5oz Buy 5 Get 5 Free,False,54,Brand New,0,549
Maple Sugar Candy,False,,Brand New,0,650
JELLY PRETZELS RASPBERRY FRESH & BEST PRICE - 1/4LB to 10LBS BULK - SHIPS FREE,False,,Brand New,0,1110
🔥Choose Size🔥 Surprise Mexican Candy Box! BEST Sweet & TOP Spicy Candy TIKTOK,False,,Brand New,0,699
Sour Patch Kids Big Soft And Chewy Candy Family Bag Home Fun Snacks Size 1.7 Lb,True,208,Brand New,0,740
 Marshmallows,False,,Brand New,0,500
"Starburst Favereds Fruit Chews Gummy Candy, Sharing Size - 15.6 oz Bag",True,,Brand New,0,996
UHA Mikakuto Japanese Puchao Soft Chewy Candy Uji Matcha Flavor 3.17oz/1 pack ,True,,Brand New,0,695
Jelly Belly Sunkist Fruit Gems Candy 2 LB Pounds New Free shipping FRESH,True,,Brand New,0,1705
MAPLE Salt Water Taffy Candy TAFFY TOWN 1/4 LB  to 10 LB BAG - FREE SHIPPING,False,,Brand New,0,1029
Tootsie Roll Rolls Long Chocolate Chews 8oz Half Pound 1/2lb Candy ,False,,Brand New,0,885
The Ginger People Gin-Gins - Original 3 oz Pkg,True,300,Brand New,0,533
Cowtales Vanilla Chewy Caramel Candy Cow Tales Bulk 36 Ct Bx Over 2 LBS Cowtails,False,,Brand New,0,1949
GOURMET BANANA CREAM PIE Salt Water Taffy Candy TAFFY TOWN 1/4 LB  to 10 LB BAG,False,,Brand New,0,800
Skittles Original Fruit Candy 54 oz Tub Bulk Vending Candies OVER 3 LBS Assorted,False,,Brand New,0,2199
Haribo Gold-Bears Gummi Bear Candy (72 oz.),False,,Brand New,0,1840
GOURMET COTTON CANDY Salt Water Taffy Candy TAFFY TOWN 1/4 LB  to 10 LB BAG,False,,Brand New,0,804
LICORICE HOLLOWS CANDY - 1/2 LB - BULK - Fresh & Best Price - FREE SHIPPING,False,,Brand New,0,1403
TROPICAL MIX Salt Water Taffy Candy TAFFY TOWN - 1/4 LB  to 10 LB BAG-SHIPS FREE,False,,Brand New,0,970
GOURMET WATERMELON Salt Water Candy TAFFY TOWN 1/4 LB  to 10 LB BAGS -SHIPS FREE,False,,Brand New,0,1054
Sunkist Fruit Gems - Gourmet Gummy Candy - FRESH - 1/2 LB BAG - WRAPPED,False,39,Brand New,0,1112
GOURMET CHOCOLATE MALT Salt Water Taffy Candy TAFFY TOWN 1/4LB to 10LB BAG,False,,Brand New,0,804
🇺🇦 Jelly Belly Beans 49 Fresh Gourmet Flavors Kirkland 64 oz (4Lb) Jar 11/2023,True,,Brand New,0,3399
" Dubble Bubble Assorted 1"" / 24mm  Gumballs 3 Lbs  Free Shipping Always Fresh *",True,1756,Brand New,0,1799
"Tootsie Roll Fruit Chews Assorted Fruit Flavors, 14.37 Oz",False,,Brand New,0,420
"Mamba Fruit Chews, Bulk Pack Candy, 18 Piece - 2.8 oz. Bars (24 Pack)",False,42,Brand New,1438,1499
Hi-Chew Japanese Chewy Fruit Candy - Assorted Flavors; 30oz Bulk Package,True,,Brand New,0,1900
